slug,note_title,note_year,note_director,matched_title,matched_year,matched_director,imdb,source_px,file
a-quiet-place-day-one-2024,A Quiet Place: Day One,2024,Michael Sarnoski,A Quiet Place: Day One,2024,Michael Sarnoski,tt13433802,2025x3000,a-quiet-place-day-one-2024.jpg
juror-2-2024,Juror #2,2024,Clint Eastwood,Juror #2,2024,Clint Eastwood,tt27403986,1339x2036,juror-2-2024.jpg
twisters-2024,Twisters,2024,Lee Isaac Chung,Twisters,2024,Lee Isaac Chung,tt12584954,2025x3000,twisters-2024.jpg
the-ballad-of-buster-scruggs-2018,The Ballad of Buster Scruggs,2018,Joel & Ethan Coen,The Ballad of Buster Scruggs,2018,"Ethan Coen, Joel Coen",tt6412452,1944x2880,the-ballad-of-buster-scruggs-2018.jpg
going-in-style-2017,Going in Style,2017,Zach Braff,Going in Style,2017,Zach Braff,tt2568862,1382x2048,going-in-style-2017.jpg
j-edgar-2011,J. Edgar,2011,Clint Eastwood,J. Edgar,2011,Clint Eastwood,tt1616195,1325x2042,j-edgar-2011.jpg
next-2007,Next,2007,Lee Tamahori,Next,2007,Lee Tamahori,tt0435705,508x755,next-2007.jpg
the-king-of-comedy-1982,The King of Comedy,1982,Martin Scorsese,The King of Comedy,1982,Martin Scorsese,tt0085794,1880x2821,the-king-of-comedy-1982.jpg
raiders-of-the-lost-ark-1981,Raiders of the Lost Ark,1981,Steven Spielberg,Raiders of the Lost Ark,1981,Steven Spielberg,tt0082971,942x1386,raiders-of-the-lost-ark-1981.jpg
passengers-2016,Passengers,2016,Morten Tyldum,Passengers,2016,Morten Tyldum,tt1355644,2025x3000,passengers-2016.jpg
daddys-home-2015,Daddy's Home,2015,Sean Anders,Daddy's Home,2015,Sean Anders,tt1528854,1312x2048,daddys-home-2015.jpg
the-intern-2015,The Intern,2015,Nancy Meyers,The Intern,2015,Nancy Meyers,tt2361509,1382x2048,the-intern-2015.jpg
super-8-2011,Super 8,2011,J.J. Abrams,Super 8,2011,J.J. Abrams,tt1650062,1381x2048,super-8-2011.jpg
true-grit-2010,True Grit,2010,Joel & Ethan Coen,True Grit,2010,"Ethan Coen, Joel Coen",tt1403865,1000x1481,true-grit-2010.jpg
kung-fu-panda-4-2024,Kung Fu Panda 4,2024,Mike Mitchell,Kung Fu Panda 4,2024,"Mike Mitchell, Stephanie Stine",tt21692408,3158x5000,kung-fu-panda-4-2024.jpg
